Material,Material number,Ti/Hi,EAN/UPC,Pallet Qty,Cs Wt,Pal Wt,Source Plant
163954,SWISS CHNK 12/16 OZ HY-V,23X05,7545009313,115,12,1380,Hiram
168663,SWISS BAR 12/8 OZ HY-V,28X07,7545006249,196,6,1176,Hiram
169721,HORSERADISH BAR 12/8 OZ HY-V,25X11,7545012748,275,6,1650,Hiram
170268,BABY SWISS BAR 12/8 OZ  HY-V SEL,28X07,7545015025,196,6,1176,Hiram
170359,SWISS A CUT 2/8 LB HY-V,10X09,7545016243,90,16,1440,Hiram
170360,BABY SWISS A CUT 4/4 LB HY-V,10X09,7545016242,90,12,1080,Hiram
170361,PROV 2/6 LB HY-V,16X09,7545016249,144,12,1728,Hiram
170363,PEPPER JACK 2/5 LB HY-V,16X08,7545016250,128,10,1280,Hiram
170364,COLBY JACK 2/5 LB HY-V,16X08,7545016245,128,10,1280,Hiram
170366,MILD CHED C 2/5 LB HY-V,16X08,7545016247,128,10,1280,Hiram
170367,SHARP CHED C 2/5 LB HY-V,16X08,7545016248,128,10,1280,Hiram
174471,SWISS CHNK 12/32 OZ HY-V,10X04,7545024693,40,24,960,Hiram
170362,AMER C SLC 4/5 LB 120 CT HY-V,20X05,7545016244,100,20,2000,Lax
100552,COLBY JACK SHR 12/8 OZ ZSUP HY-V,15X08,7545009384,120,6,720,Ply
100561,COLBY JACK FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009397,120,6,720,Ply
100842,MILD CHED C SHR 12/16 OZ ZSUP HY-V,12X05,7545009380,60,12,720,Ply
100905,"50/50 MJ,CHD C FNCY SHR 4/5 LB GLC",08X05,3651414462,40,20,800,Ply
100919,MILD CHED C FNCY SHR 4/5 LB GLC,08X05,3651413045,40,20,800,Ply
100936,MILD CHED C SHR 6/2 LB ZIP HY-V,15X05,7545009385,75,12,900,Ply
100952,MILD CHED C SHR 4/5 LB HY-V,08X05,7545009389,40,20,800,Ply
101261,SHARP CHED C SHR 12/16 OZ ZSUP HY-V,12X05,7545009381,60,12,720,Ply
101268,SHARP CHED C SHR 12/8 OZ ZSUP HY-V,15X08,7545009371,120,6,720,Ply
101897,TACO FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009378,120,6,720,Ply
101924,MEX FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009400,120,6,720,Ply
102153,MOZZ LMPS SHR 12/16 OZ ZSUP HY-V,12X05,7545009382,60,12,720,Ply
102179,MOZZ LMPS SHR 12/8 OZ ZSUP HY-V,15X08,7545009375,120,6,720,Ply
102210,MOZZ LMPS FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009396,120,6,720,Ply
102233,PIZZA FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009379,120,6,720,Ply
102267,ITALIAN FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009398,120,6,720,Ply
102394,MOZZ LMPS SHR 4/5 LB HY-V,08X05,7545009388,40,20,800,Ply
102799,PARM FNCY SHR 12/6 OZ ZSUP HY-V,15X08,7545009399,120,6,720,Ply
160746,MILD CHED C SHNGL SLC 12/8 OZ HY-V,16X08,7545052500,128,6,768,Ply
160747,MUENSTER SHNGL SLC 12/8 OZ HY-V,16X08,7545052505,128,6,768,Ply
160748,PEPPER JACK SHNGL SLC 12/8 OZ HY-V,16X08,7545052502,128,6,768,Ply
160749,PROV SHNGL SLC 12/8 OZ HY-V,16X08,7545052503,128,6,768,Ply
160752,COLBY JACK SHNGL SLC 12/8 OZ HY-V,16X08,7545052501,128,6,768,Ply
160754,SWISS SHNGL SLC 12/8 OZ HY-V,16X08,7545052504,128,6,768,Ply
163219,CHED/JACK FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009336,120,6,720,Ply
163224,COLBY C SHNGL SLC 12/8 OZ HY-V,16X08,7545009337,128,6,768,Ply
164004,SHARP CHED C BAR 12/8 OZ HY-V,25X11,7545009407,275,6,1650,Ply
164005,COLBY JACK BAR 12/8 OZ HY-V,25X11,7545009408,275,6,1650,Ply
164006,MOZZ BAR 12/8 OZ HY-V,25X11,7545009412,275,6,1650,Ply
164007,MED CHED C BAR 12/8 OZ HY-V,25X11,7545009406,275,6,1650,Ply
164008,MILD CHED C BAR 12/8 OZ HY-V,25X11,7545009405,275,6,1650,Ply
164009,MONT JACK BAR 12/8 OZ HY-V,25X11,7545009411,275,6,1650,Ply
164010,PEPPER JACK BAR 12/8 OZ HY-V,25X11,7545009410,275,6,1650,Ply
164015,X-SH CHED C CHNK 12/16 OZ HY-V,21X07,7545009305,147,12,1764,Ply
164016,COLBY C CHNK 12/16 OZ HY-V,21X07,7545009309,147,12,1764,Ply
164017,COLBY C HM CHNK 12/16 OZ HY-V,17X07,7545009314,119,12,1428,Ply
164018,MED CHED C CHNK 12/16 OZ HY-V,21X07,7545009307,147,12,1764,Ply
164019,MILD CHED C CHNK 12/16 OZ HY-V,21X07,7545009306,147,12,1764,Ply
164020,MONT JACK CHNK 12/16 OZ HY-V,21X07,7545009312,147,12,1764,Ply
164030,MOZZ CHNK 12/16 OZ HY-V,21X07,7545009311,147,12,1764,Ply
164031,RR MUENSTER CHNK 12/16 OZ HY-V,21X07,7545009310,147,12,1764,Ply
164032,PEPPER JACK CHNK 12/16 OZ HY-V,21X07,7545009316,147,12,1764,Ply
164033,SHARP CHED C CHNK 12/16 OZ HY-V,21X07,7545009308,147,12,1764,Ply
164034,COLBY JACK HM CHNK 12/16 OZ HY-V,17X07,7545009315,119,12,1428,Ply
164130,MOZZ LMPS SHNGL SLC 12/8 OZ HY-V,16X08,7545009392,128,6,768,Ply
168666,SHARP CHED C SHNGL SLC 12/8 OZ HY-V,16X08,7545006250,128,6,768,Ply
168667,HAVARTI SHNGL SLC 12/7 OZ HY-V,16X08,7545006251,128,5.25,672,Ply
168668,SWISS 2% RF SHNGL SLC 12/7 OZ HY-V,16X08,7545006252,128,5.25,672,Ply
168669,COLBY JACK 2% RF SHNGL SLC 12/7 OZ HY-V,16X08,7545006253,128,5.25,672,Ply
168670,X-SH CHED C BAR 12/8 OZ HY-V,25X11,7545006248,275,6,1650,Ply
168690,COLBY JACK CRK CUT 12/10 OZ HY-V,17X05,7545006800,85,7.5,637.5,Ply
168691,PEPPER JACK CRK CUT 12/10 OZ HY-V,17X05,7545006802,85,7.5,637.5,Ply
168692,SHARP CHED C CRK CUT 12/10 OZ HY-V,17X05,7545006801,85,7.5,637.5,Ply
169554,MEX FNCY 4CH SHR 6/2 LB ZIP HY-V,15X05,7545012715,75,12,900,Ply
169555,COLBY JACK SHR 6/2 LB ZIP HY-V,15X05,7545012714,75,12,900,Ply
169711,PROV 2% RF SHNGL SLC 12/7 OZ HY-V,16X08,7545012716,128,5.25,672,Ply
169712,BABY SWISS SHNGL SLC 12/7 OZ HY-V,16X08,7545012717,128,5.25,672,Ply
169765,COLBY JACK THIN SHNGL SLC 12/7.6 OZ HY-V,16X08,7545012719,128,5.7,729.6,Ply
169768,PROV THIN SHNGL SLC 12/7.6 OZ HY-V,16X08,7545012718,128,5.7,729.6,Ply
169769,SWISS THIN SHNGL SLC 12/6.84 OZ HY-V,16X08,7545012751,128,5.13,656.64,Ply
170269,HABANERO CHED BAR 12/8 OZ HY-V SEL,25X11,7545015033,275,6,1650,Ply
170270,GOUDA BAR 12/8 OZ HY-V SEL,25X11,7545015039,275,6,1650,Ply
170271,NY X-SH CHED W BAR 12/8 OZ HY-V SEL,25X11,7545015038,275,6,1650,Ply
170581,SMO GOUDA SHNGL SLC 12/8 OZ  HY-V,16X08,7545016293,128,6,768,Ply
170971,SWISS FNCY SHR 12/6 OZ ZSUP HY-V,15X08,7545009287,120,6,720,Ply
170980,SHARP CHED C FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545006091,120,6,720,Ply
170981,COLBY JCK 2%RF FCY SHR 12/7 OZ ZSUP HY-V,15X08,7545006109,120,5.25,630,Ply
170982,MOZZ 2% RF FCY SHR 12/7 OZ ZSUP HY-V,15X08,7545003947,120,5.25,630,Ply
171002,CHED JCK 2%RF FCY SHR 12/7 OZ ZSUP HY-V,15X08,7545006131,120,5.25,630,Ply
171003,MILD CHD C 2%RF FCY SHR 12/7OZ ZSUP HY-V,15X08,7545003948,120,5.25,630,Ply
171006,SHARP CHD C 2% FCY SHR 12/7 OZ ZSUP HY-V,15X08,7545006108,120,5.25,630,Ply
171007,MEX 2%RF FCY 4CH SHR 12/7 OZ ZSUP HY-V,15X08,7545003950,120,5.25,630,Ply
171009,CHIPOTLE CHED FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545012712,120,6,720,Ply
171010,MOZZ LMPS/PROV FCY SHR 12/8 OZ ZSUP HY-V,15X08,7545006093,120,6,720,Ply
171013,X-SHARP CHD C FCY SHR 12/8 OZ ZSUP HY-V,15X08,7545012713,120,6,720,Ply
171101,GOUDA CRK CUT 12/10 OZ HY-V,17X05,7545017303,85,7.5,637.5,Ply
171104,NY XSH CHD W CRK CUT 12/10 OZ HY-V SEL,17X05,7545017305,85,7.5,637.5,Ply
171110,COLBY C BAR 12/8 OZ HY-V,25X11,7545017232,275,6,1650,Ply
171111,SHARP CHED C SHR 6/2 LB ZIP HY-V,15X05,7545017233,75,12,900,Ply
172062,PEPPER JACK CHNK 12/32 OZ HY-V,13X05,7545016175,65,24,1560,Ply
172063,COLBY JACK CHNK 12/32 OZ HY-V,13X05,7545016176,65,24,1560,Ply
172065,COLBY C CHNK 12/32 OZ HY-V,13X05,7545016174,65,24,1560,Ply
172066,MONT JACK CHNK 12/32 OZ HY-V,13X05,7545016177,65,24,1560,Ply
172067,MILD CHED C CHNK 12/32 OZ HY-V,13X05,7545016172,65,24,1560,Ply
172068,SHARP CHED C CHNK 12/32 OZ HY-V,13X05,7545016173,65,24,1560,Ply
172070,MOZZ CHNK 12/32 OZ HY-V,13X05,7545016178,65,24,1560,Ply
172311,TRIPLE CHED C SHR 12/8 OZ ZSUP HY-V,15X08,7545019985,120,6,720,Ply
172312,GOUDA SHR 12/8 OZ ZSUP HY-V,15X08,7545019984,120,6,720,Ply
173480,SWISS SLC 6/32 OZ TWPK RGD HY-V,16X05,7545012918,80,12,960,Ply
173481,PROV SLC 6/32 OZ TWPK RGD HY-V,16X05,7545012917,80,12,960,Ply
173482,COLBY JACK SLC 6/32 OZ TWPK RGD HY-V,16X05,7545012916,80,12,960,Ply
173697,PARM/ROMANO FNCY SHR 12/6 OZ ZSUP HY-V,15X08,7545014669,120,4.5,540,Ply
173698,MOZZ LMPS THICK SHR 12/16 OZ ZSUP HY-V,12X05,7545014675,60,12,720,Ply
173699,MEX 4CH THICK SHR 12/16 OZ ZSUP HY-V,12X05,7545014674,60,12,720,Ply
173700,MILD CHED C THICK SHR 12/16 OZ ZSUP HY-V,12X05,7545014673,60,12,720,Ply
173705,MAC N CHEESE SHR 12/8 OZ ZSUP HY-V,15X08,7545014668,120,6,720,Ply
174008,MOZZ IMIT SHR 12/8 OZ ZSUP THATSM,15X08,9347600046,120,6,720,Ply
174009,CHED C IMIT SHR 12/8 OZ ZSUP THATSM,15X08,9347600045,120,6,720,Ply
174204,IMIT SWISS IWS SLC 12/10.66 OZ THATSM,20X09,9347600037,180,8,1440,Ply
174205,IMIT C IWS SLC 12/10.66 OZ THATSM,20X09,9347600044,180,8,1440,Ply
174206,IMIT W IWS SLC 12/10.66 OZ THATSM,20X09,9347600038,180,8,1440,Ply
174464,MED CHED C CHNK 12/32 OZ HY-V,13X05,7545024690,65,24,1560,Ply
174656,MOZZ LMWM SHR 12/8 OZ ZSUP HY-V,15X08,7545024805,120,6,720,Ply
174657,PEPPER JACK SHR 12/8 OZ ZSUP HY-V,15X08,7545024806,120,6,720,Ply
174683,MILD CHED C/COJCK 6/32 OZ TWPK RGD HY-V,16X05,7545024812,80,12,960,Ply
174735,MONT JACK REAPER SHR 12/6 OZ ZSUP HY-V,15X08,7545025222,120,4.5,540,Ply
174737,MONT JACK REAPER SHNGL SLC 12/6 OZ HY-V,16X08,7545025223,128,4.5,576,Ply
174738,PEPPER JCK THIN SHNGL SLC 12/7.6 OZ HY-V,16X08,7545025225,128,5.7,729.6,Ply
175053,TACO FNCY SHR 6/2 LB ZIP HY-V,15X05,7545026305,75,12,900,Ply
175302,SMO PROV SHNGL SLC 12/8 OZ HY-V,16X08,7545026904,128,6,768,Ply
175303,MONT JACK REAPER CRK CUT 12/10 OZ HY-V,17X05,7545026906,85,7.5,637.5,Ply
175354,COLBY JACK SHR 12/16 OZ ZSUP HY-V,12X05,7545026905,60,12,720,Ply
175618,PIZZA FNCY SHR 6/2 LB ZIP HY-V,15X05,7545028286,75,12,900,Ply
175755,HATCH JACK SHR 12/8 OZ ZSUP HY-V (once/year),15X08,7545028697,120,6,720,Ply
175760,HATCH JACK SHNGL SLC 12/8 OZ HY-V (once/year),16X08,7545028696,128,6,768,Ply
176148,PROV SLC 12/32 OZ TWPK ZIP HY-V,10X05,7545048715,50,24,1200,Ply
176149,SWISS SLC 12/32 OZ TWPK ZIP HY-V,10X05,7545048716,50,24,1200,Ply
176161,COLBY JACK SLC 12/32 OZ TWPK ZIP HY-V,10X05,7545048714,50,24,1200,Ply
176162,MILD C/COJCK SLC 12/32 OZ TWPK ZIP HY-V,10X05,7545048717,50,24,1200,Ply
168693,PARTY TRAY SHNGL SLC 12/16 OZ HY-V,13X05,7545006799,55,12,660,Wau
171103,SWISS CRK CUT 12/9 OZ HY-V,17X05,7545017302,85,6.7,569.5,Wau
171105,PARTY TRAY SHNGL PREM SLC 12/16 OZ HY-V,13X05,7545017231,65,12,780,Wau
173471,SHARP C CSHEW CRAN SNKR 4/3/1.5 OZ HY-V,30X09,7545014662,270,1.125,303.75,Wau
173472,SHARP W ALMD CRAN SNKR 4/3/1.5 OZ HY-V,30X09,7545014664,270,1.125,303.75,Wau
173473,PEP JACK PNUT RAIS SNKR 4/3/1.5 OZ HY-V,30X09,7545014663,270,1.125,303.75,Wau
173761,COLBY JACK SNACK BAR 12/9 OZ HY-V,15X06,7545023524,90,6.75,607.5,Wau
173762,MILD CHED C SNACK BAR 12/9 OZ HY-V,15X06,7545023526,90,6.75,607.5,Wau
173771,SHARP CHED C SNACK BAR 12/9 OZ HY-V,15X06,7545023525,90,6.75,607.5,Wau
174736,SHARP CHED C CUBE 12/6.4 OZ HY-V,15X08,7545025224,120,4.8,576,Wau
174753,PARTY TRAY SHNGL SLC 6/32 OZ HY-V,16X04,7545024804,64,12,768,Wau
175024,SH W MC/RCRAN/GRA SNKR 4/3/1.5 OZ HY-V,30X09,7545026107,270,1.125,303.75,Wau
175025,MJ DC/CRAN/BANANA SNKR 4/3/1.5 OZ HY-V,30X09,7545026106,240,1.125,270,Wau
175028,MLD C ALMD/RAIS/WC SNKR 4/3/1.5 OZ HY-V,30X09,7545026108,270,1.125,303.75,Wau
175269,COLBY JACK TURKEY SNKR 4/3/1.5 OZ HY-V,30X09,7545026841,270,1.125,303.75,Wau
175270,SHARP W HNY TURKEY SNKR 4/3/1.5 OZ HY-V,30X09,7545026840,240,1.125,270,Wau
175271,MILD CHD C BEEF SNKR 4/3/1.5 OZ HY-V,30X09,7545026842,270,1.125,303.75,Wau
176026,PEPPER JACK SNACK STK 12/9 OZ ZSUP HY-V,15X08,7545042191,120,6.75,810,Wau
176027,MILD CHED C SNACK STK 12/9 OZ ZSUP HY-V,15X08,7545042189,120,6.75,810,Wau
176028,COLBY JACK SNACK STK 12/9 OZ ZSUP HY-V,15X08,7545042190,120,6.75,810,Wau
263024,COLBY JACK CUBE 12/6.4 OZ HY-V,15X08,7545012753,120,4.8,576,Wau
263025,PEPPER JACK CUBE 12/6.4 OZ HY-V,15X08,7545012750,120,4.8,576,Wau
263026,MILD CHED C CUBE 12/6.4 OZ HY-V,15X08,7545012749,120,4.8,576,Wau