Material,Material Desc,Customer Material Number,Net Weight,Gross Weight,UOM,TiHi,Pallet Qty
172990,PEPPER JACK CRK CUT 12/10 OZ GV,564601687,7.5,9.3,LB,17X05,85
172991,COLBY JACK CRK CUT 12/10 OZ GV,564601700,7.5,9.3,LB,17X05,85
173000,SHARP CHED C CRK CUT 12/10 OZ GV,564601697,7.5,9.3,LB,17X05,85
173194,SWISS CHNK 10/16 OZ-SR GV,566878354,10,10.75,LB,26X05,130
173253,SWISS THIN SHNGL SLC 9/6.84 OZ-SR GV,566878391,3.848,4.848,LB,45X04,180
173401,PARTY TRAY SHNGL SLC 8/16 OZ-SR GV,568171640,8,9,LB,16X05,80
173521,AMER C 2% SLC 12/16 OZ GV,566878345,12,12.522,LB,20X08,160
173522,AMER W SLC 12/16 OZ GV,566878369,12,12.522,LB,20X08,160
173523,AMER C SLC 12/16 OZ GV,566878401,12,12.522,LB,20X08,160
173526,AMER C SLC 6/3 LB 72 CT VERT GV,566878403,18,18.551,LB,20X05,100
173527,PREP PROD C IWS SLC 6/3 LB GV,566878405,18,18.551,LB,20X04,80
173528,FATFR C IWS SLC 12/12 OZ GV,566878402,9,9.422,LB,20X09,180
173529,2%RF C CAL ADDED IWS SLC 12/16 OZ GV,566878347,12,12.552,LB,20X07,140
173531,PREP PROD W IWS SLC 12/12 OZ GV,566878367,9,9.422,LB,20X09,180
173546,MOZZ 2% RF SHR 5/16 OZ ZSUP-SR GV,569753151,5,6,LB,30X04,120
173585,PREP PROD C IWS 12/24 OZ TWPK GV,567066253,18,18.844,LB,15X06,90
174708,MILD CHED C SNACK STK 12/9 OZ ZSUP-SR GV,580717628,6.75,7.25,LB,24X04,96
174720,COLBY JACK LOAF 4/4 LB GV,580717670,16,16.9,LB,16X06,96
174722,SHARP CHED C SNK BAR 12/9 OZ ZSUP-SR GV,580717624,6.75,7.744,LB,24X04,96
174723,SHARP C SNACK STK 12/9 OZ ZSUP-SR GV,580717629,6.75,7.25,LB,24X04,96
174724,COLBY JACK SNK BAR 12/9 OZ ZSUP-SR GV,580717622,6.75,7.25,LB,24X04,96
174726,PEPPER JACK SNACK STK 12/9 OZ ZSUP-SR GV,580717627,6.75,7.25,LB,24X04,96
174727,PEPPER JACK SNK BAR 12/9 OZ ZSUP-SR GV,580717623,6.75,7.744,LB,24X04,96
176114,MJCK REAPER/MOZZ SHR 6/7 OZ ZSUP-SR GV,657662838,2.625,3.625,LB,40X05,200
176452,CHED C/AMER C SHR 6/7 OZ ZSUP-SR GV,662786179,2.625,3.625,LB,40X05,200
176615,SHARP W ALMD CRAN SNKR 4/3/1.5 OZ GV,668598605,1.125,1.564,LB,30X09,270
176616,SH W MC/RCRAN/GRA SNKR 4/3/1.5 OZ GV,668657477,1.125,1.564,LB,30X09,270
176617,SHARP C CSHEW CRAN SNKR 4/3/1.5 OZ GV,668598607,1.125,1.564,LB,30X09,270
176661,MAC & CHEESE THICK SHR 6/7 OZ ZSUP-SR BG,668598606,2.625,3.625,LB,40X05,200
176766,SM PRO/HIC SMO GOU FCY 6/7OZ ZSUP-SR GV,668598608,2.625,3.625,LB,40X05,200
263526,MILD CHED C CUBE 12/8 OZ GV,555547859,6,6.84,LB,24X04,96
263527,COLBY JACK CUBE 12/8 OZ GV,550392109,6,6.84,LB,24X04,96
171785,MOZZ LMPS SHR 4/5 LB GV,550264301,20,21.57,LB,08X05,40
171786,FIESTA BLND FNCY SHR 4/5 LB GV,550264302,20,21.52,LB,08X05,40
171826,MILD CHED C SHR 6/32 OZ ZIP GV,550264353,12,13.26,LB,10X06,60
171827,MOZZ LMPS SHR 6/32 OZ ZIP GV,550264354,12,13.26,LB,10X06,60
171833,FIESTA FNCY 4CH SHR 6/32 OZ ZIP GV,550264375,12,13.26,LB,10X06,60
171834,MILD CHED C FNCY SHR 6/32 OZ ZIP GV,550264367,12,13.26,LB,10X06,60
171835,COLBY JACK SHR 6/32 OZ ZIP GV,550264366,12,13.26,LB,10X06,60
171836,TACO FNCY SHR 6/32 OZ ZIP GV,550264365,12,13.26,LB,10X06,60
172389,SHARP CHED C SHR 4/5 LB GV,556077214,20,21.57,LB,08X05,40
173107,MILD CHED C SLC 8/16 OZ TWPK ZIP-SR GV,566945596,8,9,LB,45X04,180
173108,SHARP CHED C SLC 8/16 OZ TWPK ZIP-SR GV,566945594,8,9,LB,45X04,180
173110,COLBY JACK SLC 8/16 OZ TWPK ZIP-SR GV,566945599,8,9,LB,45X04,180
173112,PEPPER JACK SLC 8/16 OZ TWPK ZIP-SR GV,566945592,8,9,LB,45X04,180
173117,X-SH CHD C SHNGL SLC 9/8 OZ-SR GV,566945605,4.5,5.5,LB,45X04,180
173120,MILD CHED C SHNGL SLC 9/8 OZ-SR GV,566945601,4.5,5.5,LB,45X04,180
173123,MED CHED C SHNGL SLC 9/8 OZ-SR GV,566945614,4.5,5.5,LB,45X04,180
173125,SHARP CHED C SHNGL SLC 9/8 OZ-SR GV,566945611,4.5,5.5,LB,45X04,180
173127,COLBY JACK SHNGL SLC 9/8 OZ-SR GV,566945612,4.5,5.5,LB,45X04,180
173129,GOUDA SHNGL SLC 9/8 OZ-SR GV,566945606,4.5,5.5,LB,45X04,180
173133,PEPPER JACK SHNGL SLC 9/8 OZ-SR GV,566945613,4.5,5.5,LB,45X04,180
173134,PEPPER/HAB JACK SHNGL SLC 9/8 OZ-SR GV,566945610,4.5,5.5,LB,45X04,180
173136,PROV SHNGL SLC 8/8 OZ-SR GV,566914366,4,5,LB,45X04,180
173140,SWISS SHNGL SLC 8/8 OZ-SR GV,566888153,4,5,LB,45X04,180
173178,X-SH CHED C CHNK 12/16 OZ-SR GV,566945608,12,12.75,LB,25X05,125
173180,MILD CHED C CHNK 12/16 OZ-SR GV,566878404,12,12.75,LB,25X05,125
173184,COLBY CHNK C 12/16 OZ-SR GV,566878408,12,12.75,LB,25X05,125
173186,COLBY JACK CHNK 12/16 OZ-SR GV,566878344,12,12.75,LB,25X05,125
173188,MONT JACK CHNK 12/16 OZ-SR GV,566878409,12,12.75,LB,25X05,125
173190,MOZZ CHNK 12/16 OZ-SR GV,566878406,12,12.75,LB,25X05,125
173193,PEPPER JACK CHNK 12/16 OZ-SR GV,566878372,12,12.75,LB,25X05,125
173197,X-SH CHED C BAR 16/8 OZ-SR GV,566878333,8,8.5,LB,25X06,150
173200,MED CHED C BAR 16/8 OZ-SR GV,566878334,8,8.5,LB,25X06,150
173204,MILD CHED C BAR 16/8 OZ-SR GV,566878335,8,8.5,LB,25X06,150
173207,MILD CHED C CHNK 8/32 OZ-SR GV,566878340,16,17,LB,20X05,100
173213,SHARP CHED C BAR 16/8 OZ-SR GV,566878338,8,8.5,LB,25X06,150
173215,COLBY C CHNK 8/32 OZ-SR GV,566878348,16,17,LB,20X05,100
173216,COLBY C BAR 16/8 OZ-SR GV,566878332,8,8.5,LB,25X06,150
173219,COLBY JACK BAR 16/8 OZ-SR GV,566878331,8,8.5,LB,25X06,150
173220,COLBY JACK CHNK 8/32 OZ-SR GV,566878350,16,17,LB,20X05,100
173222,GOUDA BAR 16/8 OZ-SR GV,566878355,8,8.5,LB,25X06,150
173229,MOZZ CHNK 8/32 OZ-SR GV,566878349,16,17,LB,20X05,100
173230,RR MUENSTER BAR 16/8 OZ-SR GV,566878343,8,8.5,LB,25X06,150
173234,PEPPER JACK BAR 16/8 OZ-SR GV,566878341,8,8.5,LB,25X06,150
173237,SWISS BAR 12/8 OZ-SR GV,566878342,6,6.5,LB,26X07,182
173252,PROV THIN SHNGL SLC 8/7.6 OZ-SR GV,566945621,3.8,4.8,LB,45X04,180
173272,SHARP CHED C FNCY SHR 6/32 OZ ZIP GV,566878339,12,13.26,LB,10X06,60
173408,PROV SLC 7/16 OZ TWPK ZIP-SR GV,567994103,7,8,LB,45X04,180
173525,AMER C SLC 4/5 LB 120 CT GV,566878371,20,20.5,LB,20X05,100
173530,PREP PROD W IWS SLC 12/16 OZ GV,566878368,12,12.552,LB,20X07,140
173532,PREP PROD C IWS SLC 12/16 OZ GV,566878399,12,12.552,LB,20X07,140
173542,MILD CHED C FATFR SHR 6/7 OZ ZSUP-SR GV,569753124,2.625,3.625,LB,40X05,200
173543,MOZZ FATFR SHR 6/7 OZ ZSUP-SR GV,569753148,2.625,3.625,LB,40X05,200
173544,MOZZ LMWM SHR 6/8 OZ ZSUP-SR GV,569753149,3,4,LB,40X05,200
173549,QUESO QUESADILLA SHR 5/16 OZ ZSUP-SR GV,569753155,5,6,LB,30X04,120
173550,MOZZ LMPS/PROV SHR 5/16 OZ ZSUP-SR GV,569753152,5,6,LB,30X04,120
173551,MED CHED C SHR 5/16 OZ ZSUP-SR GV,569753116,5,6,LB,30X04,120
173552,X-SH CHED C SHR 5/16 OZ ZSUP-SR GV,569753134,5,6,LB,30X04,120
173553,MED CHED C SHR 6/8 OZ ZSUP-SR GV,569753122,3,4,LB,40X05,200
173554,X-SH CHED C SHR 6/8 OZ ZSUP-SR GV,569753143,3,4,LB,40X05,200
173555,ITALIAN FNCY SHR 5/16 OZ ZSUP-SR GV,569753139,5,6,LB,30X04,120
173557,MOZZ LMPS SHR 5/16 OZ ZSUP-SR GV,569753129,5,6,LB,30X04,120
173558,FIESTA FNCY 4CH SHR 5/16 OZ ZSUP-SR GV,569753128,5,6,LB,30X04,120
173559,SHARP CHED C FCY SHR 5/16 OZ ZSUP-SR GV,569753130,5,6,LB,30X04,120
173560,MILD CHED C FCY SHR 5/16 OZ ZSUP-SR GV,569753137,5,6,LB,30X04,120
173561,MOZZ LMPS FCY SHR 5/16 OZ ZSUP-SR GV,569753121,5,6,LB,30X04,120
173562,COLBY JACK FCY SHR 5/16 OZ ZSUP-SR GV,569753141,5,6,LB,30X04,120
173563,COLBY JACK FCY SHR 6/8 OZ ZSUP-SR GV,569753125,3,4,LB,40X05,200
173565,FIESTA FNCY SHR 6/8 OZ ZSUP-SR GV,569753119,3,4,LB,40X05,200
173566,MOZZ LMPS FNCY SHR 6/8 OZ ZSUP-SR GV,569753132,3,4,LB,40X05,200
173567,MILD CHED C FNCY SHR 6/8 OZ ZSUP-SR GV,569753147,3,4,LB,40X05,200
173568,MILD CHED C SHR 6/8 OZ ZSUP-SR GV,569753135,3,4,LB,40X05,200
173569,MOZZ LMPS SHR 6/8 OZ ZSUP-SR GV,569753118,3,4,LB,40X05,200
173571,SHARP C FNCY SHR 6/8 OZ ZSUP-SR GV,569753115,3,4,LB,40X05,200
173572,TRIPLE CHED FNCY SHR 6/8 OZ ZSUP-SR GV,569753120,3,4,LB,40X05,200
173575,TACO FNCY SHR 6/8 OZ ZSUP-SR GV,569753142,3,4,LB,40X05,200
173576,ITALIAN FNCY SHR 6/8 OZ ZSUP-SR GV,569753144,3,4,LB,40X05,200
173577,MONT JACK SHR 6/8 OZ ZSUP-SR GV,569753133,3,4,LB,40X05,200
173578,PEPPER JACK SHR 6/8 OZ ZSUP-SR GV,569753127,3,4,LB,40X05,200
173580,FIESTA 2%RF FCY SHR 6/7 OZ ZSUP-SR GV,569753131,2.625,3.625,LB,40X05,200
173581,PARM FNCY SHR 6/6 OZ ZSUP-SR GV,569753136,2.25,3.25,LB,40X05,200
173583,SWISS SLC 7/16 OZ TWPK ZIP-SR GV,569766739,7,8,LB,45X04,180
173584,PREP PROD C IWS SLC 12/12 OZ GV,566878398,9,9.422,LB,20X09,180
174725,COLBY JACK SNACK STK 12/9 OZ ZSUP-SR GV,580717626,6.75,7.25,LB,24X04,96
174728,SWISS CHNK 8/32 OZ-SR GV,580717621,16,17,LB,18X05,90
175969,MOZZ LMPS SHNGL SLC 8/8 OZ-SR GV,663265608,4,5,LB,45X04,180
175970,MUENSTER SHNGL SLC 8/8 OZ-SR GV,663265609,4,5,LB,45X04,180
176431,PEPPER JACK CUBE 12/8 OZ GV,662786177,6,6.84,LB,24X04,96
176774,4 CHSE BLEND THICK SHR 6/7 OZ ZSUP-SR BG,668598604,2.625,3.625,LB,40X05,200
176775,3 CHSE BLEND THICK SHR 6/7 OZ ZSUP-SR BG,668751301,2.625,3.625,LB,40X05,200
173201,X-SH CHED C CHNK 8/32 OZ-SR GV,566945597,16,17,LB,20X05,100
173212,SHARP CHED W CHNK 8/32 OZ-SR GV,566878397,16,17,LB,20X05,100
173564,MOZZ/CHED PIZZA SHR 6/8 OZ ZSUP-SR GV,569753146,3,4,LB,40X05,200
176444,SHARP CHED C CUBE 12/8 OZ GV,662786178,6,6.84,LB,24X04,96
176465,SHARP CHED W SHR 6/6 OZ ZSUP-SR (ORG) GV,664185116,2.25,3.25,LB,40X05,200
176467,MILD CHED W BAR 18/6 OZ-SR (ORG) GV,664185115,6.75,7.75,LB,25X06,150
175150,X-SHARP CHED W CRK CUT 12/10 OZ GV,587091096,7.5,9.3,LB,17X05,85
176447,MILD CHED W SHNGL SLC 11/6 OZ-SR(ORG) GV,664242520,4.125,5.125,LB,45X04,180
173228,MOZZ BAR 16/8 OZ-SR GV,566878337,8,8.5,LB,25X06,150
172603,PREP PROD C 12/2 LB GV,557030786,24,24.851,LB,10X07,70
172604,RDCFAT PREP PROD C 12/2 LB GV,557030783,24,24.851,LB,10X07,70
172782,PREP PROD C 12/1 LB GV,564218361,12,12.851,LB,22X06,132
